[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
0,Anlagevermögen und Aufwendungen für das Ingangsetzen,,Asset,,No,Yes,,,,,,,,,,,,
00,Aufwendungen für das Ingangsetzen und Erweitern eines Betriebes,,Expense,,No,Yes,,0,,,,,,,,,,
01,Immaterielle Vermögensgegenstände,,Asset,,No,Yes,,0,,,,,,,,,,
0120, Software,,Asset,,Yes,No,,01,,,,,,,,,,
02-03,"Grundstücke, grundstücksgleiche Rechte und Bauten",,Asset,,No,Yes,,0,,,,,,,,,,
04-05,technische Anagen und Maschinen,,Asset,,No,Yes,,0,,,,,,,,,,
0400, Maschinen u. masch. Anlagen,,Asset,,Yes,No,,04-05,,,,,,,,,,
0500, Werkzeuge,,Asset,,Yes,No,,04-05,,,,,,,,,,
06,"Andere Anlagen, Betriebs- und Geschäftsausstattung",,Asset,,No,Yes,,0,,,,,,,,,,
0620," Büromaschinen, EDV-Anlagen",,Asset,,Yes,No,,06,,,,,,,,,,
0621, EDV-Anlagen,,Asset,,Yes,No,,06,,,,,,,,,,
07,geleistete Anzahlungen und Anlagen im Bau,,Asset,,No,Yes,,0,,,,,,,,,,
0700,geleistete Anzahlungen auf Vorräte,Prepayments for future expense,Asset,,Yes,No,V_PREPAYMENT_ACCT,07,,,,,,,,,,
08-09,Finanzanlagen,,Asset,,No,Yes,,0,,,,,,,,,,
1,"Vorräte, Umlaufvermögenskonten",,Asset,,No,Yes,,,,,,,,,,,,
1400,in Arbeit befindliche Aufträge,Asset Work in Progress,Asset,,Yes,No,PJ_WIP_ACCT,1,,,,,,,,,,
1500,Fertige Erzeugnisse,Cost of Goods Sold,Expense,,Yes,No,P_COGS_ACCT,1,,,,,,,,,,
1500,Fertige Erzeugnisse,Created Asset,Asset,,Yes,No,PJ_ASSET_ACCT,1,,,,,,,,,,
1599,Wertberichtigungen zu fertigen Erzeugnissen,Product Cost Adjustments,Expense,,Yes,No,P_COSTADJUSTMENT_ACCT,1,,,,,,,,,,
1600,Waren (Bestand),Product Inventory Account,Asset,,Yes,No,P_ASSET_ACCT,1,,,,,,,,,,
1699,Wertberichtigungen zu Waren,Account for Average Cost Variance,Expense,,Yes,No,P_AVERAGECOSTVARIANCE_ACCT,1,,,,,,,,,,
1900,Erhaltene Anzahlungen auf Bestellungen,Prepayments for future revenue,Liability,,Yes,No,C_PREPAYMENT_ACCT,1,,,,,,,,,,
2,Umlaufvermögenskonten,,,,,,,,,,,,,,,,,
20-21,Forderungen aus Lieferungen und Leistungen,,Asset,,No,Yes,,2,,,,,,,,,,
2000,Forderungen aus Lieferungen und Leistungen,Accounts Receivables,Asset,,Yes,No,C_RECEIVABLE_ACCT,20-21,,,,,,,,,,
2001,Forderungen aus Dienstleistungen,Accounts Receivables for Services,Asset,,Yes,No,C_RECEIVABLE_SERVICES_ACCT,20-21,,,,,,,,,,
22,Forderungen gegenüber verbundenen Unternehmen,,Asset,,No,Yes,,2,,,,,,,,,,
2200,Forderungen gegen verbundene Unternehmen,Default Receivables account for intercompany trx,Asset,,Yes,No,INTERCOMPANYDUEFROM_ACCT,22,,,,,,,,,,
23-24,Sonstige Forderungen und Vermögensgegenstände,,Asset,,No,Yes,,2,,,,,,,,,,
25,Forderungen aus der Abgabenrechnung,,Asset,,No,Yes,,2,,,,,,,,,,
2500,Vorsteuer abziehbar,Tax to be reimbursed - before tax declaration,Asset,,Yes,No,T_CREDIT_ACCT,25,,,,,,,,,,
