Name,Description,IsOwnBank,RoutingNo,SwiftCode,C_Bank>C_Location>City,C_Bank>C_Location>Postal,C_Bank>C_Location>C_Country_ID[Name]
BBk Berlin,Bundesbank,N,10000000,MARKDEF1100,Berlin,10591,Germany - Deutschland
Postbank Berlin,Postbank,N,10010010,PBNKDEFF100,Berlin,10916,Germany - Deutschland
SEB Berlin,SEB,N,10010111,ESSEDE5F100,Berlin,10789,Germany - Deutschland
RBS NDL Frankfurt,The Royal Bank of Scotland Niederlassung Frankfurt,N,10010222,ABNADEFFBER,Berlin,10105,Germany - Deutschland
Aareal Bank,Aareal Bank,N,10010424,AARBDE5W100,Berlin,10666,Germany - Deutschland
Dexia Berlin,Dexia Kommunalbank Deutschland,N,10019610,DXIADEBBXXX,Berlin,10969,Germany - Deutschland
BHF-BANK Berlin,BHF-BANK,N,10020200,BHFBDEFF100,Berlin,10117,Germany - Deutschland
Bank für Sozialwirtschaft,Bank für Sozialwirtschaft,N,10020500,BFSWDE33BER,Berlin,10178,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,10020890,HYVEDEMM488,Berlin,10896,Germany - Deutschland
Berlin Hyp,Berlin-Hannoversche Hypothekenbank,N,10030200,BHYPDEB2XXX,Berlin,10787,Germany - Deutschland
ABK-Kreditbank Berlin,ABK-Kreditbank,N,10030400,ABKBDEBBXXX,Berlin,10115,Germany - Deutschland
Bankhaus Löbbecke Berlin,Bankhaus Löbbecke,N,10030500,LOEBDEBBXXX,Berlin,10117,Germany - Deutschland
North Channel Bank Mainz,North Channel Bank,N,10030600,GENODEF1OGK,Mainz a Rhein,55118,Germany - Deutschland
Eurocity Bank,Eurocity Bank,N,10030700,DLGHDEB1XXX,Frankfurt am Main,60311,Germany - Deutschland
Santander Bank Berlin,Santander Consumer Bank,N,10033300,SCFBDE33XXX,Berlin,10439,Germany - Deutschland
Commerzbank -West- Berlin,Commerzbank Berlin (West),N,10040000,COBADEBBXXX,Berlin,10891,Germany - Deutschland
"Commerzbank CC SP, Berlin","Commerzbank, CC SP",N,10040010,COBADEFFS01,Berlin,10877,Germany - Deutschland
Commerzbank BER GF-B48,Commerzbank GF-B48,N,10040048,COBADEFF910,Berlin,10891,Germany - Deutschland
Commerzbank Gf 160 Berlin,Commerzbank Gf 160,N,10040060,COBADEFF060,Berlin,10891,Germany - Deutschland
Commerzbank Gf 161 Berlin,Commerzbank Gf 161,N,10040061,COBADEFF061,Berlin,10891,Germany - Deutschland
Commerzbank CC Berlin,Commerzbank CC,N,10040062,COBADEFF102,Berlin,10783,Germany - Deutschland
Commerzbank CC Berlin,Commerzbank CC,N,10040063,COBADEFF103,Berlin,10783,Germany - Deutschland
"Commerzbank Gf WK, Berlin","Commerzbank, Gf Web-K",N,10040085,COBADEFFINT,Berlin,10877,Germany - Deutschland
Commerzbank Service-BZ,Commerzbank Service-BZ,N,10045050,COBADEFFBZB,Berlin,10785,Germany - Deutschland
LBB - Berliner Sparkasse,Landesbank Berlin - Berliner Sparkasse,N,10050000,BELADEBEXXX,Berlin,10889,Germany - Deutschland
Landesbank Berlin - E 1 -,Landesbank Berlin - E 1 -,N,10050005,BELADEB1DB5,Berlin,10889,Germany - Deutschland
Landesbank Berlin - E 2 -,Landesbank Berlin - E 2 -,N,10050006,BELADEB1DB6,Berlin,10889,Germany - Deutschland
Landesbank Berlin - E 3 -,Landesbank Berlin - E 3 -,N,10050007,BELADEB1DB7,Berlin,10889,Germany - Deutschland
Landesbank Berlin - E 4 -,Landesbank Berlin - E 4 -,N,10050008,BELADEB1DB8,Berlin,10889,Germany - Deutschland
"LBB S-Kreditpartner, Berlin","LBB S-Kreditpartner, Berlin",N,10050020,SKPADEB1XXX,Berlin,10715,Germany - Deutschland
LBB S-Kreditpartner HG,LBB S-Kreditpartner Bad Homburg v d Höhe,N,10050021,SKPADEB1HOM,Bad Homburg v d Höhe,61352,Germany - Deutschland
LBS Ost Berlin,LBS Ost Berlin,N,10050500,LBSODEB1BLN,Berlin,10405,Germany - Deutschland
"Ld Bk Hess-Thür, Gz, Dus",Landesbank Hessen-Thüringen Girozentrale NL. Düsseldorf,N,10050600,WELADEBBXXX,Berlin,10117,Germany - Deutschland
DekaBank Berlin,DekaBank Berlin,N,10050999,DGZFDEFFBER,Berlin,10249,Germany - Deutschland
Pax-Bank Berlin,Pax-Bank,N,10060198,GENODED1PA6,Berlin,14005,Germany - Deutschland
Ev Darlehnsgenossensch Bln,Evangelische Darlehnsgenossenschaft,N,10060237,GENODEF1EDB,Berlin,10249,Germany - Deutschland
KD-Bank Berlin,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,N,10061006,GENODED1KDB,Berlin,10117,Germany - Deutschland
Deutsche Bank Fil Berlin,Deutsche Bank Fil Berlin,N,10070000,DEUTDEBBXXX,Berlin,10883,Germany - Deutschland
Deutsche Bank PGK Berlin,Deutsche Bank Privat und Geschäftskunden F 700,N,10070024,DEUTDEDBBER,Berlin,10883,Germany - Deutschland
Deutsche Bank Fil Berlin II,Deutsche Bank Fil Berlin II,N,10070100,DEUTDEBB101,Berlin,10883,Germany - Deutschland
Deutsche Bank PGK Berlin II,Deutsche Bank Privat und Geschäftskd Berlin II,N,10070124,DEUTDEDB101,Berlin,10883,Germany - Deutschland
Berliner Bk Ndl Deutsche Bk,Berliner Bank Niederlassung der Deutsche Bank PGK,N,10070848,DEUTDEDB110,Berlin,10623,Germany - Deutschland
norisbank Berlin,norisbank,N,10077777,NORSDE51XXX,Berlin,10625,Germany - Deutschland
Commerzbank Fil I Berlin,Commerzbank vormals Dresdner Bank Filiale Berlin I,N,10080000,DRESDEFF100,Berlin,10877,Germany - Deutschland
Commerzbank Berlin Zw A,Commerzbank vormals Dresdner Bank Zw A,N,10080005,DRESDEFFI26,Berlin,10623,Germany - Deutschland
Commerzbank Berlin Zw B,Commerzbank vormals Dresdner Bank Zw B,N,10080006,DRESDEF1S02,Berlin,10623,Germany - Deutschland
Commerzbank Zw 55 Berlin,Commerzbank vormals Dresdner Bank Zw 55,N,10080055,DRESDEFF112,Berlin,10623,Germany - Deutschland
Commerzbk ZW 57 Berlin,Commerzbank vormals Dresdner Bank Gf ZW 57,N,10080057,DRESDEFF114,Berlin,10877,Germany - Deutschland
Commerzbank ITKG3 Berlin,Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3,N,10080085,DRESDEFFI53,Berlin,10877,Germany - Deutschland
Commerzbank ITGK4 Berlin,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4",N,10080086,DRESDEFFI71,Berlin,10877,Germany - Deutschland
Commerzbank ITGK5 Berlin,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5",N,10080087,DRESDEFFI72,Berlin,10877,Germany - Deutschland
Commerzbank IBLZ Berlin,Commerzbank vormals Dresdner Bank IBLZ,N,10080088,DRESDEF1S03,Berlin,10623,Germany - Deutschland
Commerzbank ITGK6 Berlin,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6",N,10080089,DRESDEFFI73,Berlin,10877,Germany - Deutschland
Commerzbk Fil III Berlin,Commerzbank vormals Dresdner Bank Filiale Berlin III,N,10080900,DRESDEFF199,Berlin,10877,Germany - Deutschland
Commerzbank ITGK Berlin,Commerzbank vormals Dresdner Bank ITGK,N,10089260,DRESDEFFI14,Berlin,10877,Germany - Deutschland
Commerzbank ITGK 2 Berlin,Commerzbank vormals Dresdner Bank ITGK 2,N,10089999,DRESDEFFI99,Berlin,10117,Germany - Deutschland
Berliner VB Berlin,Berliner Volksbank,N,10090000,BEVODEBBXXX,Berlin,10892,Germany - Deutschland
Bk f Schiffahrt BFS Berlin,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,N,10090300,GENODEF1BSB,Berlin,13353,Germany - Deutschland
apoBank Berlin,apoBank,N,10090603,DAAEDED1003,Berlin,10593,Germany - Deutschland
PSD Bank Berlin,PSD Bank Berlin-Brandenburg,N,10090900,GENODEF1P01,Berlin,12154,Germany - Deutschland
Bankhaus Dr. Masel,Bankhaus Dr. Masel,N,10110300,MACODEB1XXX,Berlin,14004,Germany - Deutschland
Investitionsbank Berlin,Investitionsbank Berlin,N,10110400,IBBBDEBBXXX,Berlin,10702,Germany - Deutschland
quirin bank,quirin bank,N,10110600,QUBKDEBBXXX,Berlin,10711,Germany - Deutschland
Weberbank,Weberbank,N,10120100,WELADED1WBB,Berlin,10893,Germany - Deutschland
Santander Consumer Bank,Santander Consumer Bank,N,10120600,GEMKDE21BER,Frankfurt am Main,60313,Germany - Deutschland
UniCredit exHypo Ndl260 Bln,UniCredit Bank - HypoVereinsbank Ndl 260 BIn,N,10120760,HYVEDEM1079,Aschheim,85609,Germany - Deutschland
VON ESSEN Bank,VON ESSEN Bankgesellschaft,N,10120800,VONEDE33BLN,Berlin,10719,Germany - Deutschland
Isbank Berlin,Isbank Fil Berlin,N,10130600,ISBKDEFXBER,Berlin,13303,Germany - Deutschland
BIW Bank,BIW Bank,N,10130800,BIWBDE33XXX,Willich,47877,Germany - Deutschland
Sydbank Berlin,Sydbank Filiale Berlin,N,10220600,SYBKDE22BER,Berlin,14193,Germany - Deutschland
Tradegate Berlin,Tradegate Wertpapierhandelsbank Berlin,N,10310600,TRDADEBBXXX,Berlin,10711,Germany - Deutschland
KfW Berlin,KfW Kreditanstalt für Wiederaufbau,N,12016836,KFWIDEFF100,Berlin,10117,Germany - Deutschland
Deutsche Kreditbank Berlin,Deutsche Kreditbank Berlin,N,12030000,BYLADEM1001,Berlin,10117,Germany - Deutschland
Merck Finck & Co Berlin,Merck Finck & Co,N,12030900,MEFIDEMM100,Berlin,10109,Germany - Deutschland
Commerzbank -Ost- Berlin,Commerzbank Berlin Ost,N,12040000,COBADEBB120,Berlin,10891,Germany - Deutschland
NLB FinanzIT,NLB FinanzIT,N,12050555,NOLADE21DVS,Berlin,10836,Germany - Deutschland
DZ BANK,DZ BANK,N,12060000,GENODEFF120,Berlin,10001,Germany - Deutschland
Deutsche Bank Ld Brandenbg,Deutsche Bank Ld Brandenburg,N,12070000,DEUTDEBB160,Potsdam,14405,Germany - Deutschland
Deutsche Bank PGK Brandenbg,Deutsche Bank Privat und Geschäftskunden,N,12070024,DEUTDEDB160,Potsdam,14405,Germany - Deutschland
Deutsche Bank (Gf intern),Deutsche Bank (Gf intern),N,12070070,DEUTDEFFVAC,Potsdam,14405,Germany - Deutschland
Deutsche Bank (Gf intern),Deutsche Bank (Gf intern),N,12070088,DEUTDEDBPAL,Potsdam,14405,Germany - Deutschland
Commerzbank Fil II Berlin,Commerzbank vormals Dresdner Bank Filiale Berlin II,N,12080000,DRESDEFF120,Berlin,10623,Germany - Deutschland
apoBank -ZV-Ost- Berlin,apoBank,N,12090640,DAAEDED1040,Berlin,10625,Germany - Deutschland
Sparda-Bank Berlin,Sparda-Bank Berlin,N,12096597,GENODEF1S10,Berlin,10407,Germany - Deutschland
BBk Rostock,Bundesbank,N,13000000,MARKDEF1130,Rostock,18004,Germany - Deutschland
SEB Rostock,SEB,N,13010111,ESSEDE5F130,Rostock,18055,Germany - Deutschland
Commerzbank Rostock,Commerzbank,N,13040000,COBADEFF130,Rostock,18006,Germany - Deutschland
Ostseesparkasse Rostock,Ostseesparkasse Rostock,N,13050000,NOLADE21ROS,Rostock,18004,Germany - Deutschland
Sparkasse Rügen,Sparkasse Rügen,N,13051042,NOLADE21RUE,Bergen auf Rügen,18525,Germany - Deutschland
Volksbank Wolgast,Volksbank Wolgast,N,13061008,GENODEF1WOG,Wolgast,17438,Germany - Deutschland
Volksbank Raiffeisenbank,Volksbank Raiffeisenbank ehem VB Greifswald,N,13061028,GENODEF1GW1,"Greifswald, Hansestadt",17462,Germany - Deutschland
VB u Raiffbk,Volks- und Raiffeisenbank,N,13061078,GENODEF1HWI,"Wismar, Meckl",23952,Germany - Deutschland
VB u Raiffbk -alt-,Raiffeisenbank Wismar -alt-,N,13061088,GENODEF1HWR,"Wismar, Meckl",23952,Germany - Deutschland
Raiffeisenbank Bad Doberan,Raiffeisenbank,N,13061128,GENODEF1DBR,Bad Doberan,18202,Germany - Deutschland
Deutsche Bank Rostock,Deutsche Bank,N,13070000,DEUTDEBRXXX,Rostock,18002,Germany - Deutschland
Deutsche Bank PGK Rostock,Deutsche Bank Privat und Geschäftskunden,N,13070024,DEUTDEDBROS,Rostock,18002,Germany - Deutschland
Commerzbank Rostock,Commerzbank vormals Dresdner Bank,N,13080000,DRESDEFF130,Rostock,18010,Germany - Deutschland
Rostocker VR Bank,Rostocker Volks- und Raiffeisenbank,N,13090000,GENODEF1HR1,Rostock,18003,Germany - Deutschland
Pommersche Volksbank,Pommersche Volksbank,N,13091054,GENODEF1HST,Stralsund,18439,Germany - Deutschland
VB u Raiffbk -alt-,Volksbank Wismar -alt-,N,13091084,GENODEF1HWV,"Wismar, Meckl",23952,Germany - Deutschland
BBk Rostock eh Schwerin,Bundesbank eh Schwerin,N,14000000,MARKDEF1140,Rostock,18004,Germany - Deutschland
Commerzbank Schwerin,Commerzbank,N,14040000,COBADEFF140,"Schwerin, Meckl",19055,Germany - Deutschland
Spk Mecklenburg-Nordwest,Sparkasse Mecklenburg-Nordwest,N,14051000,NOLADE21WIS,"Wismar, Meckl",23951,Germany - Deutschland
Sparkasse Parchim-Lübz,Sparkasse Parchim-Lübz,N,14051362,NOLADE21PCH,Parchim,19362,Germany - Deutschland
Sparkasse Schwerin -alt-,Sparkasse Schwerin -alt-,N,14051462,NOLADE21SNS,"Schwerin, Meckl",19053,Germany - Deutschland
Spk Mecklenburg-Schwerin,Sparkasse Mecklenburg-Schwerin,N,14052000,NOLADE21LWL,"Schwerin, Meckl",19053,Germany - Deutschland
VB u Raiffbk Güstrow,Volks- und Raiffeisenbank,N,14061308,GENODEF1GUE,Güstrow,18273,Germany - Deutschland
Raiffeisen-VB Gadebusch-alt,Raiffeisen-Volksbank -alt-,N,14061438,GENODEF1GDB,Gadebusch,19205,Germany - Deutschland
Commerzbank Schwerin,Commerzbank vormals Dresdner Bank,N,14080000,DRESDEFF140,"Schwerin, Meckl",19006,Germany - Deutschland
Commerzbank Schwerin Zw W,Commerzbank vormals Dresdner Bank Zw W,N,14080011,DRESDEFFI27,"Schwerin, Meckl",19006,Germany - Deutschland
VR-Bank Schwerin,VR-Bank,N,14091464,GENODEF1SN1,"Schwerin, Meckl",19053,Germany - Deutschland
BBk Neubrandenburg,Bundesbank,N,15000000,MARKDEF1150,"Neubrandenburg, Meckl",17020,Germany - Deutschland
Commerzbank Neubrandenburg,Commerzbank,N,15040068,COBADEFF151,"Neubrandenburg, Meckl",17019,Germany - Deutschland
Müritz-Sparkasse Waren,Müritz-Sparkasse,N,15050100,NOLADE21WRN,Waren (Müritz),17181,Germany - Deutschland
Spk Neubrandenburg-Demmin,Sparkasse Neubrandenburg-Demmin,N,15050200,NOLADE21NBS,"Neubrandenburg, Meckl",17041,Germany - Deutschland
Sparkasse Uecker-Randow,Sparkasse Uecker-Randow,N,15050400,NOLADE21PSW,Pasewalk,17302,Germany - Deutschland
Spk Vorpommern,Sparkasse Vorpommern,N,15050500,NOLADE21GRW,"Greifswald, Hansestadt",17462,Germany - Deutschland
Spk Mecklenburg-Strelitz,Sparkasse Mecklenburg-Strelitz,N,15051732,NOLADE21MST,Neustrelitz,17235,Germany - Deutschland
Raiffbk Mecklenb Seenplatte,Raiffeisenbank Mecklenburger Seenplatte,N,15061618,GENODEF1WRN,Waren (Müritz),17192,Germany - Deutschland
Volksbank Raiffeisenbank,Volksbank Raiffeisenbank,N,15061638,GENODEF1ANK,"Greifswald, Hansestadt",17489,Germany - Deutschland
Raiffbk Pasewalk-Strasb alt,Raiffeisenbank Pasewalk-Strasburg -alt-,N,15061658,GENODEF1STG,Strasburg (Uckermark),17335,Germany - Deutschland
Raiffeisenbank Malchin,Raiffeisenbank Malchin,N,15061698,GENODEF1MAL,Malchin,17131,Germany - Deutschland
