[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,Ausstehende Einlagen auf das gezeichnete Kapital- nichteingefordert (Aktivausweis),AUSSTEHENDE EINLAGEN AUF DAS GEZEICHNETE KAPITAL- NICHTEINGEFORDERT (AKTIVAUSWEIS),Asset,Debit,,,,K0BA11,,,,,,,,,,
100,Konzessionen- gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,KONZESSIONEN- GEWERBLICHE SCHUTZRECHTE UND ÄHNLICHE RECHTE UND WERTE SOWIE LIZENZEN AN SOLCHEN RECHTEN UND WERTEN,Asset,Debit,,Yes,,K0BA31,,,,,,,,,,
1000,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,Yes,,P_ASSET_ACCT,K1BA11,,,,,,,,,,
1001,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
1002,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
1003,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
1004,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
1005,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
1006,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
1007,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
1008,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
1009,Roh-- Hilfs- und Betriebsstoffe (Bestand),ROH-- HILFS- UND BETRIEBSSTOFFE (BESTAND),Asset,Debit,,,,K1BA11,,,,,,,,,,
