[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1,ACTIVO,,Asset,,,Yes,,,,,,,,,,,,
11,DISPONIBLE,,Asset,,,Yes,,1,,,,,,,,,,
1105,CAJA,,Asset,,,Yes,,11,,,,,,,,,,
110505,CAJA GENERAL,,Asset,,,,,1105,,,,,,,,,,
110510,CAJAS MENORES,,Asset,,,Yes,,1105,,,,,,,,,,
11051005,ADMINISTRACION,,Asset,,,,,110510,,,,,,,,,,
11051010,CAJA MENOR NN,,Asset,,,,,110510,,,,,,,,,,
11051090,DEFAULT CAJA MENOR,,Asset,,,,CB_ASSET_ACCT,110510,,,,,,,,,,
11051091,DEFAULT CAJA MENOR EN TRANSITO,,Asset,,,,CB_CASHTRANSFER_ACCT,110510,,,,,,,,,,
110515,MONEDA EXTRANJERA,,Asset,,,,,1105,,,,,,,,,,
110520,DEFAULT PAGOS NO ASIGNADOS A FACTURAS,,Asset,,,,B_UNALLOCATEDCASH_ACCT,1105,,,,,,,,,,
1110,BANCOS,,Asset,,,Yes,,11,,,,,,,,,,
111005,MONEDA NACIONAL,,Asset,,,Yes,,1110,,,,,,,,,,
11100507,BANCO NN,,Asset,,,Yes,,111005,,,,,,,,,,
1110050701,CUENTA CORRIENTE YYY,,Asset,,,,,11100507,,,,,,,,,,
11100590,DEFAULT BANCOS,,Asset,,,,B_ASSET_ACCT,111005,,,,,,,,,,
111010,MONEDA EXTRANJERA,,Asset,,,,,1110,,,,,,,,,,
1115,REMESAS EN TRANSITO,,Asset,,,Yes,,11,,,,,,,,,,
111505,MONEDA NACIONAL,,Asset,,,Yes,,1115,,,,,,,,,,
11150590,DEFAULT REMESAS EN TRANSITO,,Asset,,,,B_INTRANSIT_ACCT,111505,,,,,,,,,,
111510,MONEDA EXTRANJERA,,Asset,,,,,1115,,,,,,,,,,
1120,CUENTAS DE AHORRO,,Asset,,,Yes,,11,,,,,,,,,,
112005,BANCOS,,Asset,,,Yes,,1120,,,,,,,,,,
11200507,BANCO NN,,Asset,,,Yes,,112005,,,,,,,,,,
1120050701,CUENTA AHORROS YYY,,Asset,,,,,11200507,,,,,,,,,,
1120050709,TARJETA DE CREDITO ZZZ,,Asset,,,,,11200507,,,,,,,,,,
112010,CORPORACIONES DE AHORRO Y VIVIENDA,,Asset,,,,,1120,,,,,,,,,,
